"BankcardUtilization","Frequency","LoanStatusGroup"
0.2,0.385737439222042,"Bad"
0.25,0.768233387358185,"Bad"
0.3,0.761750405186385,"Bad"
0.35,0.724473257698542,"Bad"
0.4,0.828200972447325,"Bad"
0.45,0.829821717990275,"Bad"
0.5,0.831442463533226,"Bad"
0.55,1.00810372771475,"Bad"
0.6,1.05672609400324,"Bad"
0.65,1.10696920583468,"Bad"
0.7,1.14100486223663,"Bad"
0.75,1.09562398703403,"Bad"
0.8,1.26580226904376,"Bad"
0.85,1.50891410048622,"Bad"
0.9,1.67260940032415,"Bad"
0.95,2.2965964343598,"Bad"
1,1.97568881685575,"Bad"
1.05,0.325769854132902,"Bad"
1.1,0.166936790923825,"Bad"
1.15,0.106969205834684,"Bad"
1.2,0.0567260940032414,"Bad"
1.25,0.0648298217179902,"Bad"
0.2,0.606296758104738,"Good"
0.25,0.971009975062344,"Good"
0.3,0.977244389027431,"Good"
0.35,0.964775561097258,"Good"
0.4,0.900872817955111,"Good"
0.45,1.02088528678304,"Good"
0.5,1.13622194513716,"Good"
0.55,1.02244389027431,"Good"
0.6,1.11596009975062,"Good"
0.65,1.16115960099751,"Good"
0.7,1.20168329177057,"Good"
0.75,1.15336658354115,"Good"
0.8,1.1783042394015,"Good"
0.85,1.34819201995012,"Good"
0.9,1.53834164588529,"Good"
0.95,1.98410224438903,"Good"
1,1.4214463840399,"Good"
1.05,0.168329177057357,"Good"
1.1,0.0654613466334164,"Good"
1.15,0.0358478802992518,"Good"
1.2,0.0202618453865336,"Good"
1.25,0.00155860349127182,"Good"
